tweet_text,cyberbullying_type
This is terrible and a complete waste of time,0
"Absolutely fantastic outcome, highly recommended",1
The product broke and is extremely poor quality,0
The quality is superb and very satisfying,1
The product broke and is extremely poor quality,0
"Absolutely fantastic outcome, highly recommended",1
The product broke and is extremely poor quality,0
I am extremely happy with the results,1
"Worst service ever, completely disappointed",0
The quality is superb and very satisfying,1
The product broke and is extremely poor quality,0
This product is amazing and I love using it every day,1
I hate this and would never recommend it,0
The quality is superb and very satisfying,1
I hate this and would never recommend it,0
The quality is superb and very satisfying,1
The product broke and is extremely poor quality,0
This product is amazing and I love using it every day,1
This is terrible and a complete waste of time,0
This product is amazing and I love using it every day,1
The product broke and is extremely poor quality,0
The quality is superb and very satisfying,1
I hate this and would never recommend it,0
I am extremely happy with the results,1
"Very bad experience, not satisfied at all",0
The quality is superb and very satisfying,1
"Very bad experience, not satisfied at all",0
I am extremely happy with the results,1
I hate this and would never recommend it,0
"Absolutely fantastic outcome, highly recommended",1
The product broke and is extremely poor quality,0
This product is amazing and I love using it every day,1
"Very bad experience, not satisfied at all",0
"Absolutely fantastic outcome, highly recommended",1
"Worst service ever, completely disappointed",0
I am extremely happy with the results,1
The product broke and is extremely poor quality,0
This product is amazing and I love using it every day,1
This is terrible and a complete waste of time,0
I am extremely happy with the results,1
The product broke and is extremely poor quality,0
The quality is superb and very satisfying,1
This is terrible and a complete waste of time,0
This product is amazing and I love using it every day,1
"Very bad experience, not satisfied at all",0
This product is amazing and I love using it every day,1
This is terrible and a complete waste of time,0
"Absolutely fantastic outcome, highly recommended",1
"Worst service ever, completely disappointed",0
"Absolutely fantastic outcome, highly recommended",1
I hate this and would never recommend it,0
Excellent service and great experience overall,1
The product broke and is extremely poor quality,0
Excellent service and great experience overall,1
The product broke and is extremely poor quality,0
I am extremely happy with the results,1
The product broke and is extremely poor quality,0
The quality is superb and very satisfying,1
"Very bad experience, not satisfied at all",0
Excellent service and great experience overall,1
I hate this and would never recommend it,0
Excellent service and great experience overall,1
This is terrible and a complete waste of time,0
Excellent service and great experience overall,1
This is terrible and a complete waste of time,0
The quality is superb and very satisfying,1
"Very bad experience, not satisfied at all",0
This product is amazing and I love using it every day,1
"Very bad experience, not satisfied at all",0
This product is amazing and I love using it every day,1
This is terrible and a complete waste of time,0
Excellent service and great experience overall,1
I hate this and would never recommend it,0
I am extremely happy with the results,1
"Very bad experience, not satisfied at all",0
I am extremely happy with the results,1
"Worst service ever, completely disappointed",0
"Absolutely fantastic outcome, highly recommended",1
I hate this and would never recommend it,0
"Absolutely fantastic outcome, highly recommended",1
I hate this and would never recommend it,0
I am extremely happy with the results,1
The product broke and is extremely poor quality,0
The quality is superb and very satisfying,1
"Very bad experience, not satisfied at all",0
This product is amazing and I love using it every day,1
The product broke and is extremely poor quality,0
Excellent service and great experience overall,1
This is terrible and a complete waste of time,0
I am extremely happy with the results,1
I hate this and would never recommend it,0
This product is amazing and I love using it every day,1
I hate this and would never recommend it,0
This product is amazing and I love using it every day,1
I hate this and would never recommend it,0
"Absolutely fantastic outcome, highly recommended",1
"Worst service ever, completely disappointed",0
The quality is superb and very satisfying,1
This is terrible and a complete waste of time,0
This product is amazing and I love using it every day,1
I hate this and would never recommend it,0
I am extremely happy with the results,1
This is terrible and a complete waste of time,0
The quality is superb and very satisfying,1
I hate this and would never recommend it,0
This product is amazing and I love using it every day,1
I hate this and would never recommend it,0
Excellent service and great experience overall,1
"Worst service ever, completely disappointed",0
"Absolutely fantastic outcome, highly recommended",1
This is terrible and a complete waste of time,0
"Absolutely fantastic outcome, highly recommended",1
I hate this and would never recommend it,0
I am extremely happy with the results,1
I hate this and would never recommend it,0
The quality is superb and very satisfying,1
The product broke and is extremely poor quality,0
This product is amazing and I love using it every day,1
"Very bad experience, not satisfied at all",0
Excellent service and great experience overall,1
This is terrible and a complete waste of time,0
I am extremely happy with the results,1
The product broke and is extremely poor quality,0
I am extremely happy with the results,1
"Worst service ever, completely disappointed",0
The quality is superb and very satisfying,1
"Worst service ever, completely disappointed",0
This product is amazing and I love using it every day,1
"Very bad experience, not satisfied at all",0
The quality is superb and very satisfying,1
I hate this and would never recommend it,0
This product is amazing and I love using it every day,1
I hate this and would never recommend it,0
Excellent service and great experience overall,1
"Very bad experience, not satisfied at all",0
Excellent service and great experience overall,1
I hate this and would never recommend it,0
This product is amazing and I love using it every day,1
This is terrible and a complete waste of time,0
Excellent service and great experience overall,1
"Worst service ever, completely disappointed",0
"Absolutely fantastic outcome, highly recommended",1
"Worst service ever, completely disappointed",0
I am extremely happy with the results,1
"Very bad experience, not satisfied at all",0
"Absolutely fantastic outcome, highly recommended",1
"Worst service ever, completely disappointed",0
"Absolutely fantastic outcome, highly recommended",1
"Very bad experience, not satisfied at all",0
This product is amazing and I love using it every day,1
"Very bad experience, not satisfied at all",0
This product is amazing and I love using it every day,1
"Worst service ever, completely disappointed",0
Excellent service and great experience overall,1
I hate this and would never recommend it,0
I am extremely happy with the results,1
I hate this and would never recommend it,0
I am extremely happy with the results,1
The product broke and is extremely poor quality,0
This product is amazing and I love using it every day,1
The product broke and is extremely poor quality,0
Excellent service and great experience overall,1
This is terrible and a complete waste of time,0
Excellent service and great experience overall,1
"Very bad experience, not satisfied at all",0
I am extremely happy with the results,1
"Very bad experience, not satisfied at all",0
"Absolutely fantastic outcome, highly recommended",1
The product broke and is extremely poor quality,0
Excellent service and great experience overall,1
The product broke and is extremely poor quality,0
This product is amazing and I love using it every day,1
This is terrible and a complete waste of time,0
Excellent service and great experience overall,1
This is terrible and a complete waste of time,0
"Absolutely fantastic outcome, highly recommended",1
"Very bad experience, not satisfied at all",0
The quality is superb and very satisfying,1
"Worst service ever, completely disappointed",0
I am extremely happy with the results,1
The product broke and is extremely poor quality,0
"Absolutely fantastic outcome, highly recommended",1
"Worst service ever, completely disappointed",0
The quality is superb and very satisfying,1
"Worst service ever, completely disappointed",0
Excellent service and great experience overall,1
"Worst service ever, completely disappointed",0
This product is amazing and I love using it every day,1
"Worst service ever, completely disappointed",0
"Absolutely fantastic outcome, highly recommended",1
"Very bad experience, not satisfied at all",0
"Absolutely fantastic outcome, highly recommended",1
The product broke and is extremely poor quality,0
"Absolutely fantastic outcome, highly recommended",1
This is terrible and a complete waste of time,0
This product is amazing and I love using it every day,1
"Worst service ever, completely disappointed",0
The quality is superb and very satisfying,1
"Very bad experience, not satisfied at all",0
"Absolutely fantastic outcome, highly recommended",1
I hate this and would never recommend it,0
Excellent service and great experience overall,1
I hate this and would never recommend it,0
Excellent service and great experience overall,1
The product broke and is extremely poor quality,0
I am extremely happy with the results,1
The product broke and is extremely poor quality,0
The quality is superb and very satisfying,1
The product broke and is extremely poor quality,0
Excellent service and great experience overall,1
"Very bad experience, not satisfied at all",0
"Absolutely fantastic outcome, highly recommended",1
I hate this and would never recommend it,0
Excellent service and great experience overall,1
I hate this and would never recommend it,0
Excellent service and great experience overall,1
I hate this and would never recommend it,0
I am extremely happy with the results,1
"Worst service ever, completely disappointed",0
The quality is superb and very satisfying,1
The product broke and is extremely poor quality,0
I am extremely happy with the results,1
"Very bad experience, not satisfied at all",0
Excellent service and great experience overall,1
"Worst service ever, completely disappointed",0
"Absolutely fantastic outcome, highly recommended",1
"Worst service ever, completely disappointed",0
The quality is superb and very satisfying,1
"Worst service ever, completely disappointed",0
I am extremely happy with the results,1
The product broke and is extremely poor quality,0
"Absolutely fantastic outcome, highly recommended",1
"Worst service ever, completely disappointed",0
"Absolutely fantastic outcome, highly recommended",1
"Worst service ever, completely disappointed",0
"Absolutely fantastic outcome, highly recommended",1
This is terrible and a complete waste of time,0
I am extremely happy with the results,1
This is terrible and a complete waste of time,0
This product is amazing and I love using it every day,1
This is terrible and a complete waste of time,0
The quality is superb and very satisfying,1
"Worst service ever, completely disappointed",0
The quality is superb and very satisfying,1
"Worst service ever, completely disappointed",0
This product is amazing and I love using it every day,1
This is terrible and a complete waste of time,0
This product is amazing and I love using it every day,1
"Worst service ever, completely disappointed",0
The quality is superb and very satisfying,1
"Worst service ever, completely disappointed",0
"Absolutely fantastic outcome, highly recommended",1
I hate this and would never recommend it,0
I am extremely happy with the results,1
"Very bad experience, not satisfied at all",0
The quality is superb and very satisfying,1
I hate this and would never recommend it,0
The quality is superb and very satisfying,1
I hate this and would never recommend it,0
"Absolutely fantastic outcome, highly recommended",1
The product broke and is extremely poor quality,0
I am extremely happy with the results,1
"Worst service ever, completely disappointed",0
I am extremely happy with the results,1
I hate this and would never recommend it,0
Excellent service and great experience overall,1
The product broke and is extremely poor quality,0
This product is amazing and I love using it every day,1
"Very bad experience, not satisfied at all",0
I am extremely happy with the results,1
I hate this and would never recommend it,0
This product is amazing and I love using it every day,1
"Very bad experience, not satisfied at all",0
I am extremely happy with the results,1
I hate this and would never recommend it,0
I am extremely happy with the results,1
"Worst service ever, completely disappointed",0
I am extremely happy with the results,1
I hate this and would never recommend it,0
Excellent service and great experience overall,1
I hate this and would never recommend it,0
The quality is superb and very satisfying,1
I hate this and would never recommend it,0
The quality is superb and very satisfying,1
The product broke and is extremely poor quality,0
I am extremely happy with the results,1
"Worst service ever, completely disappointed",0
I am extremely happy with the results,1
This is terrible and a complete waste of time,0
I am extremely happy with the results,1
The product broke and is extremely poor quality,0
The quality is superb and very satisfying,1
"Very bad experience, not satisfied at all",0
This product is amazing and I love using it every day,1
I hate this and would never recommend it,0
I am extremely happy with the results,1
The product broke and is extremely poor quality,0
Excellent service and great experience overall,1
This is terrible and a complete waste of time,0
"Absolutely fantastic outcome, highly recommended",1
The product broke and is extremely poor quality,0
The quality is superb and very satisfying,1
This is terrible and a complete waste of time,0
Excellent service and great experience overall,1
"Worst service ever, completely disappointed",0
I am extremely happy with the results,1
This is terrible and a complete waste of time,0
The quality is superb and very satisfying,1
I hate this and would never recommend it,0
"Absolutely fantastic outcome, highly recommended",1
"Very bad experience, not satisfied at all",0
The quality is superb and very satisfying,1
"Worst service ever, completely disappointed",0
Excellent service and great experience overall,1
"Worst service ever, completely disappointed",0
Excellent service and great experience overall,1
This is terrible and a complete waste of time,0
I am extremely happy with the results,1
"Very bad experience, not satisfied at all",0
The quality is superb and very satisfying,1
The product broke and is extremely poor quality,0
Excellent service and great experience overall,1
"Very bad experience, not satisfied at all",0
Excellent service and great experience overall,1
"Worst service ever, completely disappointed",0
I am extremely happy with the results,1
I hate this and would never recommend it,0
This product is amazing and I love using it every day,1
"Worst service ever, completely disappointed",0
"Absolutely fantastic outcome, highly recommended",1
This is terrible and a complete waste of time,0
"Absolutely fantastic outcome, highly recommended",1
I hate this and would never recommend it,0
The quality is superb and very satisfying,1
The product broke and is extremely poor quality,0
This product is amazing and I love using it every day,1
This is terrible and a complete waste of time,0
This product is amazing and I love using it every day,1
The product broke and is extremely poor quality,0
The quality is superb and very satisfying,1
The product broke and is extremely poor quality,0
The quality is superb and very satisfying,1
The product broke and is extremely poor quality,0
This product is amazing and I love using it every day,1
"Very bad experience, not satisfied at all",0
Excellent service and great experience overall,1
"Worst service ever, completely disappointed",0
I am extremely happy with the results,1
This is terrible and a complete waste of time,0
This product is amazing and I love using it every day,1
"Worst service ever, completely disappointed",0
"Absolutely fantastic outcome, highly recommended",1
The product broke and is extremely poor quality,0
I am extremely happy with the results,1
"Very bad experience, not satisfied at all",0
Excellent service and great experience overall,1
The product broke and is extremely poor quality,0
The quality is superb and very satisfying,1
The product broke and is extremely poor quality,0
Excellent service and great experience overall,1
This is terrible and a complete waste of time,0
I am extremely happy with the results,1
The product broke and is extremely poor quality,0
I am extremely happy with the results,1
"Worst service ever, completely disappointed",0
The quality is superb and very satisfying,1
I hate this and would never recommend it,0
This product is amazing and I love using it every day,1
I hate this and would never recommend it,0
This product is amazing and I love using it every day,1
The product broke and is extremely poor quality,0
Excellent service and great experience overall,1
I hate this and would never recommend it,0
Excellent service and great experience overall,1
The product broke and is extremely poor quality,0
I am extremely happy with the results,1
The product broke and is extremely poor quality,0
The quality is superb and very satisfying,1
The product broke and is extremely poor quality,0
The quality is superb and very satisfying,1
"Very bad experience, not satisfied at all",0
Excellent service and great experience overall,1
The product broke and is extremely poor quality,0
I am extremely happy with the results,1
"Worst service ever, completely disappointed",0
This product is amazing and I love using it every day,1
This is terrible and a complete waste of time,0
This product is amazing and I love using it every day,1
The product broke and is extremely poor quality,0
This product is amazing and I love using it every day,1
"Very bad experience, not satisfied at all",0
Excellent service and great experience overall,1
"Very bad experience, not satisfied at all",0
The quality is superb and very satisfying,1
The product broke and is extremely poor quality,0
I am extremely happy with the results,1
"Very bad experience, not satisfied at all",0
"Absolutely fantastic outcome, highly recommended",1
This is terrible and a complete waste of time,0
The quality is superb and very satisfying,1
I hate this and would never recommend it,0
The quality is superb and very satisfying,1
The product broke and is extremely poor quality,0
The quality is superb and very satisfying,1
"Worst service ever, completely disappointed",0
Excellent service and great experience overall,1
The product broke and is extremely poor quality,0
I am extremely happy with the results,1
This is terrible and a complete waste of time,0
The quality is superb and very satisfying,1
This is terrible and a complete waste of time,0
The quality is superb and very satisfying,1
"Very bad experience, not satisfied at all",0
Excellent service and great experience overall,1
This is terrible and a complete waste of time,0
Excellent service and great experience overall,1
The product broke and is extremely poor quality,0
Excellent service and great experience overall,1
The product broke and is extremely poor quality,0
Excellent service and great experience overall,1
This is terrible and a complete waste of time,0
"Absolutely fantastic outcome, highly recommended",1
"Very bad experience, not satisfied at all",0
The quality is superb and very satisfying,1
"Worst service ever, completely disappointed",0
"Absolutely fantastic outcome, highly recommended",1
I hate this and would never recommend it,0
I am extremely happy with the results,1
This is terrible and a complete waste of time,0
I am extremely happy with the results,1
"Worst service ever, completely disappointed",0
"Absolutely fantastic outcome, highly recommended",1
"Very bad experience, not satisfied at all",0
Excellent service and great experience overall,1
"Worst service ever, completely disappointed",0
I am extremely happy with the results,1
I hate this and would never recommend it,0
The quality is superb and very satisfying,1
This is terrible and a complete waste of time,0
The quality is superb and very satisfying,1
"Very bad experience, not satisfied at all",0
The quality is superb and very satisfying,1
"Very bad experience, not satisfied at all",0
I am extremely happy with the results,1
"Worst service ever, completely disappointed",0
"Absolutely fantastic outcome, highly recommended",1
The product broke and is extremely poor quality,0
I am extremely happy with the results,1
This is terrible and a complete waste of time,0
The quality is superb and very satisfying,1
I hate this and would never recommend it,0
Excellent service and great experience overall,1
"Worst service ever, completely disappointed",0
This product is amazing and I love using it every day,1
This is terrible and a complete waste of time,0
Excellent service and great experience overall,1
"Worst service ever, completely disappointed",0
"Absolutely fantastic outcome, highly recommended",1
I hate this and would never recommend it,0
This product is amazing and I love using it every day,1
The product broke and is extremely poor quality,0
"Absolutely fantastic outcome, highly recommended",1
The product broke and is extremely poor quality,0
Excellent service and great experience overall,1
"Worst service ever, completely disappointed",0
Excellent service and great experience overall,1
"Worst service ever, completely disappointed",0
I am extremely happy with the results,1
The product broke and is extremely poor quality,0
"Absolutely fantastic outcome, highly recommended",1
"Very bad experience, not satisfied at all",0
The quality is superb and very satisfying,1
"Worst service ever, completely disappointed",0
I am extremely happy with the results,1
This is terrible and a complete waste of time,0
"Absolutely fantastic outcome, highly recommended",1
"Very bad experience, not satisfied at all",0
This product is amazing and I love using it every day,1
The product broke and is extremely poor quality,0
"Absolutely fantastic outcome, highly recommended",1
"Worst service ever, completely disappointed",0
The quality is superb and very satisfying,1
I hate this and would never recommend it,0
This product is amazing and I love using it every day,1
"Worst service ever, completely disappointed",0
Excellent service and great experience overall,1
This is terrible and a complete waste of time,0
The quality is superb and very satisfying,1
"Worst service ever, completely disappointed",0
"Absolutely fantastic outcome, highly recommended",1
"Worst service ever, completely disappointed",0
I am extremely happy with the results,1
"Worst service ever, completely disappointed",0
The quality is superb and very satisfying,1
"Very bad experience, not satisfied at all",0
The quality is superb and very satisfying,1
"Very bad experience, not satisfied at all",0
"Absolutely fantastic outcome, highly recommended",1
"Very bad experience, not satisfied at all",0
This product is amazing and I love using it every day,1
This is terrible and a complete waste of time,0
